Year,Order,Player,Nationality,Club,Points
1973,19,Roland Sandberg,Sweden,Åtvidabergs FF /  1. FC Kaiserslautern,2
1973,23,Vladislav Bogićević,Yugoslavia,Red Star Belgrade,1
1973,23,Dragan Džajić,Yugoslavia,Red Star Belgrade,1
1973,23,Pat Jennings,Northern Ireland,Tottenham Hotspur,1
1973,23,Denis Law,Scotland,Manchester City,1
1973,23,Ivo Viktor,Czechoslovakia,Dukla Prague,1
1974,1,Johan Cruyff,Barcelona,Netherlands,116
1974,2,Franz Beckenbauer,Bayern Munich,West Germany,105
1974,3,Kazimierz Deyna,Legia Warsaw,Poland,35
1974,4,Paul Breitner,Bayern Munich,West Germany,32
1974,5,Johan Neeskens,Barcelona,Netherlands,21
1974,6,Grzegorz Lato,Stal Mielec,Poland,16
1974,7,Gerd Müller,Bayern Munich,West Germany,14
1974,8,Robert Gadocha,Legia Warsaw,Poland,11
1974,9,Billy Bremner,Leeds United,Scotland,9
1974,10,Ralf Edström,PSV Eindhoven,Sweden,4
1974,10,Jürgen Sparwasser,1. FC Magdeburg,East Germany,4
1974,10,Berti Vogts,Borussia Mönchengladbach,West Germany,4
1974,13,Ronnie Hellström,1. FC Kaiserslautern,Sweden,3
1974,13,Jan Tomaszewski,ŁKS Łódź,Poland,3
1974,15,José Altafini,Juventus,Italy,2
1974,15,Hristo Bonev,Lokomotiv Plovdiv,Bulgaria,2
1974,15,Jerzy Gorgoń,Górnik Zabrze,Poland,2
1974,15,Sepp Maier,Bayern Munich,West Germany,2
1974,19,Oleg Blokhin,Dynamo Kyiv,Soviet Union,1
1974,19,Rainer Bonhof,Borussia Mönchengladbach,West Germany,1
1974,19,Jean-Marc Guillou,Angers,France,1
1974,19,Uli Hoeneß,Bayern Munich,West Germany,1
1974,19,Branko Oblak,Hajduk Split,Yugoslavia,1
1975,1,Oleg Blokhin,Dynamo Kyiv,Soviet Union,122
1975,2,Franz Beckenbauer,Bayern Munich,West Germany,42
1975,3,Johan Cruyff,Barcelona,Netherlands,27
1975,4,Berti Vogts,Borussia Mönchengladbach,West Germany,25
1975,5,Sepp Maier,Bayern Munich,West Germany,20
1975,6,Ruud Geels,Ajax,Netherlands,18
1975,7,Jupp Heynckes,Borussia Mönchengladbach,West Germany,17
1975,8,Paul Breitner,Real Madrid,West Germany,14
1975,9,Colin Todd,Derby County,England,12
1975,10,Dudu Georgescu,Dinamo București,Romania,11
1975,11,Peter Lorimer,Leeds United,Scotland,9
1975,11,Branko Oblak,Schalke 04,Yugoslavia,9
1975,11,Pirri,Real Madrid,Spain,9
1975,14,Ralf Edström,PSV Eindhoven,Sweden,6
1975,14,Günter Netzer,Real Madrid,West Germany,6
1975,14,Dino Zoff,Juventus,Italy,6
1975,17,Hristo Bonev,Lokomotiv Plovdiv,Bulgaria,4
1975,17,Josip Katalinski,Nice,Yugoslavia,4
1975,17,Grzegorz Lato,Stal Mielec,Poland,4
1975,17,Gerd Müller,Bayern Munich,West Germany,4
1975,17,Ivo Viktor,Dukla Prague,Czechoslovakia,4
1975,22,Ján Pivarník,Slovan Bratislava,Czechoslovakia,3
1975,23,Leonid Buryak,Dynamo Kyiv,Soviet Union,2
1975,23,Jürgen Croy,Sachsenring Zwickau,East Germany,2
1975,23,Johan Neeskens,Barcelona,Netherlands,2
1975,23,Jean-Marc Guillou,Nice,France,2
1975,27,João Alves,Boavista,Portugal,1
1975,27,Dragan Džajić,Bastia,Yugoslavia,1
1975,27,Giacinto Facchetti,Internazionale,Italy,1
1975,27,Don Givens,Queens Park Rangers,Republic of Ireland,1
1975,27,Pat Jennings,Tottenham Hotspur,Northern Ireland,1
1975,27,Allan Simonsen,Borussia Mönchengladbach,Denmark,1
1976,1,Franz Beckenbauer,Bayern Munich,West Germany,91
1976,2,Rob Rensenbrink,Anderlecht,Netherlands,75
1976,3,Ivo Viktor,Dukla Prague,Czechoslovakia,52
1976,4,Kevin Keegan,Liverpool,England,32
1976,5,Michel Platini,Nancy,France,19
1976,6,Anton Ondruš,Slovan Bratislava,Czechoslovakia,16
1976,7,Johan Cruyff,Barcelona,Netherlands,12
1976,7,Ivan Ćurković,Saint-Étienne,Yugoslavia,12
1976,9,Rainer Bonhof,Borussia M'Gladbach,West Germany,9
1976,9,Gerd Müller,Bayern Munich,West Germany,9
1976,9,Marián Masný,Slovan Bratislava,Czechoslovakia,9
1976,12,Franco Causio,Juventus,Italy,7
1976,13,Berti Vogts,Borussia Mönchengladbach,West Germany,6
1976,14,Tibor Nyilasi,Ferencváros,Hungary,5
1976,15,Roberto Bettega,Juventus,Italy,4
1976,15,Jürgen Croy,Sachsenring Zwickau,East Germany,4
1976,15,Dudu Georgescu,Dinamo București,Romania,4
1976,15,Jaroslav Pollák,VSS Košice,Czechoslovakia,4
1976,19,Oleg Blokhin,Dinamo Kyiv,Soviet Union,3
1976,19,Joachim Streich,1. FC Magdeburg,East Germany,3
1976,21,Gérard Janvion,Saint-Étienne,France,2
1976,21,Dieter Müller,1. FC Köln,West Germany,2
1976,21,Dominique Rocheteau,Saint-Étienne,France,2
1976,21,Santillana,Real Madrid,Spain,2
1976,21,Benny Wendt,Tennis Borussia Berlin,Sweden,2
1976,26,Dominique Bathenay,Saint-Étienne,France,1
1976,26,Jupp Heynckes,Borussia Mönchengladbach,West Germany,1
1976,26,Ali Kemal,Trabzonspor,Turkey,1
1976,26,Dino Zoff,Juventus,Italy,1
1977,1,Allan Simonsen,Borussia Mönchengladbach,Denmark,74
1977,2,Kevin Keegan,Liverpool / Hamburger SV,England,71
1977,3,Michel Platini,Nancy,France,70
1977,4,Roberto Bettega,Juventus,Italy,39
1977,5,Johan Cruyff,Barcelona,Netherlands,23
1977,6,Klaus Fischer,Schalke 04,West Germany,21
1977,7,Tibor Nyilasi,Ferencváros,Hungary,13
1977,7,Rob Rensenbrink,Anderlecht,Netherlands,13
1977,9,Dudu Georgescu,Dinamo București,Romania,6
1977,10,Emlyn Hughes,Liverpool,England,5
1977,10,Steve Heighway,Liverpool,Ireland,5
1977,10,Berti Vogts,Borussia Mönchengladbach,West Germany,5
1977,13,Dominique Bathenay,Saint-Étienne,France,4
1977,13,Trevor Brooking,West Ham United,England,4
1977,13,Anders Linderoth,Marseille,Sweden,4
1977,13,Ronnie Hellström,1. FC Kaiserslautern,Sweden,4
1977,13,Franco Causio,Juventus,Italy,4
1977,18,Ruud Krol,Ajax,Netherlands,3
1977,18,Marius Trésor,Marseille,France,3
1977,20,Rainer Bonhof,Borussia Mönchengladbach,West Germany,2
1977,20,Heinz Flohe,1. FC Köln,West Germany,2
1977,20,Ruud Geels,Ajax,Netherlands,2
1977,20,Dieter Müller,1. FC Köln,West Germany,2
1977,20,Pirri,Real Madrid,Spain,2
1977,20,Peter Shilton,Nottingham Forest,England,2
1977,26,Giancarlo Antognoni,Fiorentina,Italy,1
1977,26,Jürgen Grabowski,Eintracht Frankfurt,West Germany,1
1977,26,Gérard Janvion,Saint-Étienne,France,1
1977,26,Ray Kennedy,Liverpool,England,1
1977,26,Hans Krankl,Rapid Wien,Austria,1
1977,26,Gordon McQueen,Leeds United,Scotland,1
1977,26,András Törőcsik,Újpest,Hungary,1
1978,1,Kevin Keegan,Hamburger SV,England,87
1978,2,Hans Krankl,Barcelona,Austria,81
1978,3,Rob Rensenbrink,Anderlecht,Netherlands,50
1978,4,Roberto Bettega,Juventus,Italy,28
1978,5,Paolo Rossi,L.R. Vicenza,Italy,23
1978,6,Ronnie Hellström,Kaiserslautern,Sweden,20
1978,6,Ruud Krol,Ajax,Netherlands,20
1978,8,Kenny Dalglish,Liverpool,Scotland,10
1978,8,Allan Simonsen,Borussia Mönchengladbach,Denmark,10
1978,10,Peter Shilton,Nottingham Forest,England,9
1978,11,Arie Haan,Anderlecht,Netherlands,7
1978,12,René van de Kerkhof,PSV Eindhoven,Netherlands,6
1978,13,Antonio Cabrini,Juventus,Italy,5
1978,13,Willy van de Kerkhof,PSV Eindhoven,Netherlands,5
1978,15,Johan Cruyff,Barcelona,Netherlands,4
1978,15,Graeme Souness,Liverpool,Scotland,4
1978,15,Zdeněk Nehoda,Dukla Prague,Czechoslovakia,4
1978,18,Marián Masný,Slovan Bratislava,Czechoslovakia,3
1978,19,Archie Gemmill,Nottingham Forest,Scotland,2
1978,19,Marius Trésor,Marseille,France,2
1978,21,João Alves,Benfica,Portugal,1
1978,21,Rainer Bonhof,Valencia,West Germany,1
1978,21,Zbigniew Boniek,Widzew Łódź,Poland,1
1978,21,Franco Causio,Juventus,Italy,1
1978,21,Hansi Müller,VfB Stuttgart,West Germany,1
1978,21,Johan Neeskens,Barcelona,Netherlands,1
1978,21,Michel Platini,Nancy,France,1
1978,21,Karl-Heinz Rummenigge,Bayern Munich,West Germany,1
1978,21,Didier Six,Marseille,France,1
1978,21,François Van Der Elst,Anderlecht,Belgium,1
1979,1,Kevin Keegan,Hamburger SV,England,118
1979,2,Karl-Heinz Rummenigge,Bayern Munich,West Germany,52
1979,3,Ruud Krol,Ajax,Netherlands,41
1979,4,Manfred Kaltz,Hamburger SV,West Germany,27
1979,5,Michel Platini,Saint-Étienne,France,23
1979,6,Paolo Rossi,Perugia,Italy,16
1979,7,Trevor Francis,Nottingham Forest,England,13
1979,7,Liam Brady,Arsenal,Republic of Ireland,13
1979,9,Zbigniew Boniek,Widzew Łódź,Poland,8
1979,9,Zdeněk Nehoda,Dukla Prague,Czechoslovakia,8
1979,11,Kenny Dalglish,Liverpool,Scotland,7
1979,12,Allan Simonsen,Barcelona,Denmark, 
1979,13,Paul Breitner,Bayern Munich,West Germany,6
1979,13,Kees Kist,AZ,Netherlands,6
1979,15,Johnny Rep,Saint-Étienne,Netherlands,5
1979,15,Tony Woodcock,1. FC Köln,England,5
1979,15,Hans Krankl,Barcelona,Austria,5
1979,15,Safet Sušić,FK Sarajevo,SFR Yugoslavia,5
1979,19,Uli Stielike,Real Madrid,West Germany,4
1979,20,Marius Trésor,Marseille,France,3
1979,21,João Alves,Paris Saint-Germain,Portugal,2
1979,21,Franco Causio,Juventus,Italy,2
1979,21,Gordon McQueen,Manchester United,Scotland,2
1979,21,René van de Kerkhof,PSV Eindhoven,Netherlands,2
1979,21,Bruno Pezzey,Eintracht Frankfurt,Austria,2
1979,21,Simon Tahamata,Ajax,Netherlands,2
1979,27,Juan Manuel Asensi,Barcelona,Spain,1
1979,27,Trevor Brooking,West Ham United,England,1
1979,27,Ronnie Hellström,Kaiserslautern,Sweden,1
1979,27,Hansi Müller,VfB Stuttgart,West Germany,1
1979,27,Antonín Panenka,Bohemians 1905,Czechoslovakia,1
1979,27,Walter Schachner,Austria Wien,Austria,1
1980,1,Karl-Heinz Rummenigge,Bayern Munich,West Germany,122
1980,2,Bernd Schuster,Barcelona,West Germany,34
1980,3,Michel Platini,Saint-Étienne,France,33
1980,4,Wilfried Van Moer,Beveren,Belgium,27
1980,5,Jan Ceulemans,Club Brugge,Belgium,20
1980,6,Horst Hrubesch,Hamburger SV,West Germany,18
1980,7,Herbert Prohaska[notes 1],Internazionale,Austria,14
1980,8,Hansi Müller,VfB Stuttgart,West Germany,11
1980,8,Liam Brady,Juventus,Republic of Ireland,11
1980,10,Manfred Kaltz,Hamburger SV,West Germany,10
1980,11,Erwin Vandenbergh,Lierse,Belgium,9
1980,11,Luis Arconada,Real Sociedad,Spain,9
1980,11,Dino Zoff,Juventus,Italy,9
1980,14,Kenny Dalglish,Liverpool,Scotland,5
1980,14,Bruno Pezzey[notes 2],Eintracht Frankfurt,Austria,5
1980,16,Terry McDermott,Liverpool,England,4
1980,16,Viv Anderson,Nottingham Forest,England,4
1980,16,Ruud Krol,Napoli,Netherlands,4
1980,16,Francesco Graziani,Torino,Italy,4
1980,20,Ladislav Vízek,Dukla Prague,Czechoslovakia,3
1980,20,Manuel Bento,Benfica,Portugal,3
1980,22,Frank Arnesen,Ajax,Denmark,2
1980,22,Antonín Panenka,Bohemians 1905,Czechoslovakia,2
1980,22,David O'Leary,Arsenal,Republic of Ireland,2
1980,22,Vladimir Petrović,Red Star Belgrade,SFR Yugoslavia,2
1980,22,Zbigniew Boniek,Widzew Łódź,Poland,2
1980,27,Giancarlo Antognoni,Fiorentina,Italy,1
1980,27,Alessandro Altobelli,Internazionale,Italy,1
1980,27,Marcel Răducanu,Steaua București,Romania,1
1980,27,Trevor Francis,Nottingham Forest,England,1
1980,27,Zdeněk Nehoda,Dukla Prague,Czechoslovakia,1
1980,27,Peter Shilton,Nottingham Forest,England,1
1981,1,Karl-Heinz Rummenigge,Bayern Munich,West Germany,106
1981,2,Paul Breitner,Bayern Munich,West Germany,64
1981,3,Bernd Schuster,Barcelona,West Germany,39
1981,4,Michel Platini,Saint-Étienne,France,36
1981,5,Oleg Blokhin,Dinamo Kyiv,Soviet Union,14
1981,6,Dino Zoff,Juventus,Italy,13
1981,7,Ramaz Shengelia,Dinamo Tbilisi,Soviet Union,10
1981,8,Alexsandr Chivadze,Dinamo Tbilisi,Soviet Union,9
1981,9,Liam Brady,Juventus,Republic of Ireland,7
1981,9,John Wark,Ipswich Town,Scotland,7
1981,11,David Kipiani,Dinamo Tbilisi,Soviet Union,6
1981,11,András Törőcsik,Újpest,Hungary,6
1981,11,Zbigniew Boniek,Widzew Łódź,Poland,6
1981,11,Maxime Bossis,Nantes,France,6
1981,11,Bruno Pezzey,Eintracht Frankfurt,Austria,6
1981,16,Horst Hrubesch,Hamburger SV,West Germany,5
1981,16,Ruud Krol,Napoli,Netherlands,5
1981,16,Vladimir Petrović,Red Star Belgrade,Yugoslavia,5
1981,19,Zlatko Vujovic,Hajduk Split,Yugoslavia,4
1981,19,Trevor Brooking,West Ham United,England,4
1981,21,Giancarlo Antognoni,Fiorentina,Italy,3
1981,21,Jan Ceulemans,Club Brugge,Belgium,3
1981,21,Kenny Dalglish,Liverpool,Scotland,3
1981,21,Bryan Robson,Manchester United,England,3
1981,21,Frank Stapleton,Manchester United,Ireland,3
1981,21,Wilfried Van Moer,Beveren,Belgium,3
1981,21,Luis Arconada,Real Sociedad,Spain,3
1981,28,Grzegorz Lato,Lokeren,Poland,2
1981,28,Tibor Nyilasi,Ferencváros,Hungary,2
1981,28,Wlodzimierz Smolarek,Widzew Łódź,Poland,2
1981,28,Frans Thijssen,Ipswich Town,Netherlands,2
1981,32,António Oliveira,Sporting CP,Portugal,1
1981,32,Uli Stielike,Real Madrid,West Germany,1
1981,32,Jesús Zamora,Real Sociedad,Spain,1
1982,1,Paolo Rossi,Juventus,Italy,115
1982,2,Alain Giresse[notes 1],Bordeaux,France,64
1982,3,Zbigniew Boniek,Juventus,Poland,53
1982,4,Karl-Heinz Rummenigge[notes 2],Bayern Munich,West Germany,51
1982,5,Bruno Conti,Roma,Italy,48
1982,6,Rinat Dasayev,Spartak Moscow,Soviet Union,17
1982,7,Pierre Littbarski,1. FC Köln,West Germany,10
1982,8,Dino Zoff,Juventus,Italy,9
1982,9,Michel Platini,Juventus,France,5
1982,10,Bernd Schuster,Barcelona,West Germany,4
1982,11,Giancarlo Antognoni,Fiorentina,Italy,3
1982,12,Bruno Pezzey,Eintracht Frankfurt,Austria,2
1982,12,Gaetano Scirea,Juventus,Italy,2
1982,12,Eric Gerets,Standard Liège,Belgium,2
1982,15,Paul Breitner,Bayern Munich,West Germany,1
1982,15,Torbjörn Nilsson,IFK Göteborg,Sweden,1
1982,15,Walter Schachner,Cesena,Austria,1
1982,15,Marco Tardelli,Juventus,Italy,1
1982,15,Marius Trésor,Bordeaux,France,1
1983,1,Michel Platini,Juventus,France,110
1983,2,Kenny Dalglish,Liverpool,Scotland,26
1983,3,Allan Simonsen,Vejle,Denmark,25
1983,4,Gordon Strachan,Aberdeen,Scotland,24
1983,5,Felix Magath,Hamburger SV,West Germany,20
1983,6,Jean-Marie Pfaff,Bayern Munich,Belgium,15
1983,6,Rinat Dasayev,Spartak Moscow,Soviet Union,15
1983,8,Karl-Heinz Rummenigge,Bayern Munich,West Germany,14
1983,8,Jesper Olsen,Ajax,Denmark,14
1983,10,Bryan Robson,Manchester United,England,13
1983,11,Fernando Gomes,Porto,Portugal,10
1983,11,Bernd Schuster,Barcelona,West Germany,10
1983,11,Franky Vercauteren,Anderlecht,Belgium,10
1983,11,Alain Giresse,Bordeaux,France,10
1983,15,Safet Sušić,Paris Saint-Germain,Yugoslavia,8
1983,15,Ian Rush,Liverpool,Wales,8
1983,17,Morten Olsen,Anderlecht,Denmark,6
1983,18,Norman Whiteside,Manchester United,Northern Ireland,5
1983,19,Bruno Conti,Roma,Italy,4
1983,19,Eric Gerets,Milan,Belgium,4
1983,19,Erwin Vandenbergh,Anderlecht,Belgium,4
1983,19,Michael Laudrup,Lazio,Denmark,4
1983,23,Liam Brady,Sampdoria,Republic of Ireland,3
1983,23,Antonio Cabrini,Juventus,Italy,3
1983,23,Carlos Manuel,Benfica,Portugal,3
1983,23,Vasilis Hatzipanagis,Iraklis,Greece,3
1983,23,Glenn Hysén,IFK Göteborg,Sweden,3
1983,23,Paolo Rossi,Juventus,Italy,3
1983,23,Costică Ștefănescu,Universitatea Craiova,Romania,3
1983,30,Zbigniew Boniek,Juventus,Poland,2
1983,30,Fedor Cherenkov,Spartak Moscow,Soviet Union,2
1983,30,Ruud Gullit,Feyenoord,Netherlands,2
1983,33,Søren Lerby,Bayern Munich,Denmark,1
1983,33,Stoycho Mladenov,CSKA Sofia,Bulgaria,1
1983,33,Tibor Nyilasi,Austria Wien,Hungary,1
1983,33,Rudi Völler,Werder Bremen,West Germany,1
1984,1,Michel Platini,Juventus,France,110
1984,2,Kenny Dalglish,Liverpool,Scotland,26
1984,3,Allan Simonsen,Vejle,Denmark,25
1984,4,Gordon Strachan,Aberdeen,Scotland,24
1984,5,Felix Magath,Hamburger SV,West Germany,20
1984,6,Jean-Marie Pfaff,Bayern Munich,Belgium,15
1984,6,Rinat Dasayev,Spartak Moscow,Soviet Union,15
1984,8,Karl-Heinz Rummenigge,Bayern Munich,West Germany,14
1984,8,Jesper Olsen,Ajax,Denmark,14
1984,10,Bryan Robson,Manchester United,England,13
1984,11,Fernando Gomes,Porto,Portugal,10
1984,11,Bernd Schuster,Barcelona,West Germany,10
1984,11,Franky Vercauteren,Anderlecht,Belgium,10
1984,11,Alain Giresse,Bordeaux,France,10
1984,15,Safet Sušić,Paris Saint-Germain,Yugoslavia,8
1984,15,Ian Rush,Liverpool,Wales,8
1984,17,Morten Olsen,Anderlecht,Denmark,6
1984,18,Norman Whiteside,Manchester United,Northern Ireland,5
1984,19,Bruno Conti,Roma,Italy,4
1984,19,Eric Gerets,Milan,Belgium,4
1984,19,Erwin Vandenbergh,Anderlecht,Belgium,4
1984,19,Michael Laudrup,Lazio,Denmark,4
1984,23,Liam Brady,Sampdoria,Republic of Ireland,3
1984,23,Antonio Cabrini,Juventus,Italy,3
1984,23,Carlos Manuel,Benfica,Portugal,3
1984,23,Vasilis Hatzipanagis,Iraklis,Greece,3
1984,23,Glenn Hysén,IFK Göteborg,Sweden,3
1984,23,Paolo Rossi,Juventus,Italy,3
1984,23,Costică Ștefănescu,Universitatea Craiova,Romania,3
1984,30,Zbigniew Boniek,Juventus,Poland,2
1984,30,Fedor Cherenkov,Spartak Moscow,Soviet Union,2
1984,30,Ruud Gullit,Feyenoord,Netherlands,2
1984,33,Søren Lerby,Bayern Munich,Denmark,1
1984,33,Stoycho Mladenov,CSKA Sofia,Bulgaria,1
1984,33,Tibor Nyilasi,Austria Wien,Hungary,1
1984,33,Rudi Völler,Werder Bremen,West Germany,1
1985,1,Michel Platini,Juventus,France,127
1985,2,Preben Elkjær,Hellas Verona,Denmark,71
1985,3,Bernd Schuster,Barcelona,West Germany,46
1985,4,Michael Laudrup,Juventus,Denmark,14
1985,5,Karl-Heinz Rummenigge,Internazionale,West Germany,13
1985,6,Zbigniew Boniek,Roma,Poland,12
1985,7,Oleh Protasov,Dnepr Dnepropetrovsk,Soviet Union,10
1985,8,Hans-Peter Briegel,Hellas Verona,West Germany,9
1985,9,Bryan Robson,Manchester United,England,8
1985,9,Rinat Dasayev,Spartak Moscow,Soviet Union,8
1985,11,Rudi Völler,Werder Bremen,West Germany,7
1985,12,Luis Fernández,Paris Saint-Germain,France,6
1985,12,Søren Lerby,Bayern Munich,Denmark,6
1985,14,Rafael Gordillo,Real Madrid,Spain,5
1985,14,Ian Rush,Liverpool,Wales,5
1985,16,Emilio Butragueño,Real Madrid,Spain,4
1985,16,Fernando Gomes,Porto,Portugal,4
1985,18,Harald Schumacher,1. FC Köln,West Germany,3
1985,18,John Sivebæk,Vejle,Denmark,3
1985,18,Neville Southall,Everton,Wales,3
1985,21,Lajos Détári,Budapest Honvéd,Hungary,2
1985,21,Alain Giresse,Bordeaux,France,2
1985,21,Vahid Halilhodžić,Nantes,Yugoslavia,2
1985,21,Tibor Nyilasi,Austria Wien,Hungary,2
1985,21,Peter Reid,Everton,England,2
1985,21,Peter Shilton,Southampton,England,2
1985,21,Graeme Souness,Sampdoria,Scotland,2
1985,21,Pat Jennings,Tottenham Hotspur,Northern Ireland,2
1985,29,Steve Archibald,Barcelona,Scotland,1
1985,29,Jan Ceulemans,Club Brugge,Belgium,1
1985,29,Anatoliy Demyanenko,Dinamo Kyiv,Soviet Union,1
1985,29,Georgi Dimitrov,CSKA Sofia,Bulgaria,1
1985,29,Gheorghe Hagi,Sportul Studențesc,Romania,1
1985,29,Mark Hateley,Milan,England,1
1985,29,Herbert Prohaska,Austria Wien,Austria,1
1985,29,Gary Stevens,Everton,England,1
1985,29,Andreas Thom,Dynamo Berlin,East Germany,1
1985,29,Ladislav Vízek,Dukla Prague,Czechoslovakia,1
1986,1,Igor Belanov,Dynamo Kyiv,Soviet Union,84
1986,2,Gary Lineker,Everton / Barcelona,England,62
1986,3,Emilio Butragueño,Real Madrid,Spain,59
1986,4,Manuel Amoros,Monaco,France,22
1986,4,Preben Elkjær,Hellas Verona,Denmark,22
1986,6,Ian Rush,Liverpool,Wales,20
1986,6,Oleksandr Zavarov,Dynamo Kyiv,Soviet Union,20
1986,8,Helmuth Duckadam,Steaua București,Romania,10
1986,8,Marco van Basten,Ajax,Netherlands,10
1986,10,Alessandro Altobelli,Internazionale,Italy,9
1986,11,Jean-Marie Pfaff,Bayern Munich,Belgium,8
1986,11,Michel Platini,Juventus,France,8
1986,13,Jan Ceulemans,Club Brugge,Belgium,7
1986,13,Søren Lerby,Monaco,Denmark,7
1986,15,Morten Olsen,Anderlecht /  1. FC Köln,Denmark,6
1986,16,Rinat Dasayev,Spartak Moscow,Soviet Union,5
1986,17,Luis Fernández,Paris Saint-Germain /  RC Paris,France,4
1986,17,Paulo Futre,Porto,Portugal,4
1986,17,Ruud Gullit,PSV Eindhoven,Netherlands,4
1986,17,Harald Schumacher,1. FC Köln,West Germany,4
1986,21,Kenny Dalglish,Liverpool,Scotland,3
1986,21,Jean Tigana,Bordeaux,France,3
1986,21,Pavlo Yakovenko,Dynamo Kyiv,Soviet Union,3
1986,24,Karlheinz Förster,VfB Stuttgart / Marseille,West Germany,2
1986,25,Lothar Matthäus,Bayern Munich,West Germany,1
1986,25,Michael Laudrup,Juventus,Denmark,1
1986,25,Rudi Völler,Werder Bremen,West Germany,1
1987,1,Ruud Gullit,Milan,Netherlands,106
1987,2,Paulo Futre,Porto /  Atlético Madrid,Portugal,91
1987,3,Emilio Butragueño,Real Madrid,Spain,61
1987,4,Míchel,Real Madrid,Spain,29
1987,5,Gary Lineker,Barcelona,England,13
1987,6,John Barnes,Liverpool,England,10
1987,6,Marco van Basten,Milan,Netherlands,10
1987,8,Gianluca Vialli,Sampdoria,Italy,9
1987,9,Bryan Robson,Manchester United,England,7
1987,10,Klaus Allofs,Marseille,West Germany,6
1987,10,Glenn Hysén,Fiorentina,Sweden,6
1987,12,Manuel Amoros,Monaco,France,5
1987,12,Lothar Matthäus,Bayern Munich,West Germany,5
1987,14,Mark Hateley,Monaco,England,4
1987,14,Toni Polster,Torino,Austria,4
1987,14,Ian Rush,Juventus,Wales,4
1987,17,Pierre Littbarski,1. FC Köln,West Germany,3
1987,17,Paul McGrath,Manchester United,Republic of Ireland,3
1987,17,Jean-Marie Pfaff,Bayern Munich,Belgium,3
1987,17,Oleksandr Zavarov,Dynamo Kyiv,Soviet Union,3
1987,21,Peter Beardsley,Liverpool,England,2
1987,21,Józef Młynarczyk,Porto,Poland,2
1987,21,Rinat Dasayev,Spartak Moscow,Soviet Union,2
1987,21,Preben Elkjær,Hellas Verona,Denmark,2
1987,21,Gheorghe Hagi,Steaua București,Romania,2
1987,21,Heinz Hermann,Neuchâtel Xamax,Switzerland,2
1987,21,Ally McCoist,Rangers,Scotland,2
1987,21,Rodion Cămătaru,Dinamo București,Romania,2
1987,21,Peter Shilton,Derby County,England,2
1987,30,Alessandro Altobelli,Internazionale,Italy,1
1987,30,Glenn Hoddle,Monaco,England,1
1987,30,Sokol Kushta,Flamurtari,Albania,1
1987,30,Dimitris Saravakos,Panathinaikos,Greece,1
1987,30,Rudi Völler,Roma,West Germany,1
1988,1,Marco van Basten,Milan,Netherlands,129
1988,2,Ruud Gullit,Milan,Netherlands,88
1988,3,Frank Rijkaard,Milan,Netherlands,45
1988,4,Oleksiy Mykhaylychenko,Dynamo Kyiv,Soviet Union,41
1988,5,Ronald Koeman,PSV Eindhoven,Netherlands,39
1988,6,Lothar Matthäus,Internazionale,West Germany,10
1988,7,Gianluca Vialli,Sampdoria,Italy,7
1988,8,Franco Baresi,Milan,Italy,5
1988,8,Jürgen Klinsmann,VfB Stuttgart,West Germany,5
1988,8,Oleksandr Zavarov,Juventus,Soviet Union,5
1988,11,Tanju Çolak,Galatasaray,Turkey,4
1988,11,Oleh Kuznetsov,Dynamo Kyiv,Soviet Union,4
1988,13,Rinat Dasayev,Sevilla,Soviet Union,3
1988,13,Anatoliy Demyanenko,Dynamo Kyiv,Soviet Union,3
1988,13,Glenn Hysén,Fiorentina,Sweden,3
1988,13,Míchel,Real Madrid,Spain,3
1988,17,Flemming Povlsen,1. FC Köln,Denmark,2
1988,17,Michel Preud'homme,Mechelen,Belgium,2
1988,17,Walter Zenga,Internazionale,Italy,2
1988,20,Gheorghe Hagi,Steaua București,Romania,1
1988,20,Roberto Mancini,Sampdoria,Italy,1
1988,20,Dejan Savićević,Red Star Belgrade,Yugoslavia,1
1988,20,Neville Southall,Everton,Wales,1
1988,20,Dragan Stojković,Red Star Belgrade,Yugoslavia,1
1989,1,Marco van Basten,AC Milan,Netherlands,119
1989,2,Franco Baresi,Milan,Italy,80
1989,3,Frank Rijkaard,Milan,Netherlands,43
1989,4,Lothar Matthäus,Internazionale,West Germany,24
1989,5,Peter Shilton,Derby County,England,22
1989,6,Dragan Stojković,Red Star Belgrade,Yugoslavia,19
1989,7,Ruud Gullit,Milan,Netherlands,16
1989,8,Gheorghe Hagi,Steaua București,Romania,11
1989,8,Jürgen Klinsmann,Internazionale,West Germany,11
1989,10,Jean-Pierre Papin,Marseille,France,10
1989,10,Michel Preud'homme,Mechelen,Belgium,10
1989,12,Oleksiy Mykhaylychenko,Dynamo Kyiv,Soviet Union,6
1989,13,Míchel,Real Madrid,Spain,5
1989,14,Andreas Brehme,Internazionale,West Germany,3
1989,14,Paulo Futre,Atlético Madrid,Portugal,3
1989,14,Karl-Heinz Riedle,Werder Bremen,West Germany,3
1989,17,John Barnes,Liverpool,England,2
1989,17,Packie Bonner,Celtic,Republic of Ireland,2
1989,17,Glenn Hysén,Liverpool,Sweden,2
1989,17,Oleh Kuznetsov,Dynamo Kyiv,Soviet Union,2
1989,17,Andreas Möller,Borussia Dortmund,West Germany,2
1989,17,Julio Salinas,Barcelona,Spain,2
1989,23,Thomas Häßler,1. FC Köln,West Germany,1
1989,23,Ronald Koeman,Barcelona,Netherlands,1
